Date,TA_AVG,HM_AVG,WS_AVG,TD_AVG,SS_DAY
1994-01-01,-3.662128264,79.97791866,1.694339223,-7.013937527,8.064225048
1994-01-02,0.708400429,80.81736509,1.437709088,-2.490373747,5.340944439
1994-01-03,3.853075024,77.46768982,1.823993769,-0.088316898,6.064504435
1994-01-04,-1.15673851,61.6831986,2.732119917,-8.172264287,8.596947449
1994-01-05,-0.375317894,68.72174278,1.101635313,-5.903594958,6.527687773
1994-01-06,1.817813714,69.71844692,2.752012911,-3.337512478,2.506536933
1994-01-07,-3.649276516,57.38921082,2.044429169,-11.62288644,8.261344474
1994-01-08,-1.930725987,75.40801981,1.19991309,-6.072991774,4.680553183
1994-01-09,2.497994168,79.31574386,1.182800299,-1.008385125,5.069776484
1994-01-10,0.520575797,81.36810424,0.966378225,-2.919007957,6.234493888
1994-01-11,0.275789571,85.39275072,1.194818028,-2.04386213,5.308965266
1994-01-12,0.051474637,79.44075145,0.86361007,-3.538853012,4.888525644
1994-01-13,-0.045547674,76.68236056,1.609848372,-3.911707735,5.611081675
1994-01-14,-3.413943689,69.04868777,1.964411364,-9.260190256,8.47686805
1994-01-15,-3.224666892,68.64620066,0.637608717,-9.38823412,8.60168642
1994-01-16,-0.604235624,81.49368177,0.681495479,-3.837565965,1.890901816
1994-01-17,2.065185824,92.55078692,1.753095523,0.989496625,4.828313484
1994-01-18,-5.428140103,61.03187625,4.278114636,-11.97711902,7.765725153
1994-01-19,-7.986087105,63.02185701,3.244701518,-14.13434883,8.518576127
1994-01-20,-6.619805208,67.17627032,2.758477362,-12.32550117,8.479661714
1994-01-21,-6.803332904,74.67266974,2.518725763,-11.04039534,7.964483059
1994-01-22,-4.266302486,84.23809475,2.334163305,-6.568755363,3.259036127
1994-01-23,-8.15616954,76.20127589,3.069175933,-11.94881301,7.625426399
1994-01-24,-10.06768348,78.95026353,1.173595582,-13.28170088,8.884451792
1994-01-25,-3.914285264,85.15456099,0.632549457,-6.347885663,4.146807272
1994-01-26,-1.753559024,84.83374713,1.757392459,-4.207323889,1.707080305
1994-01-27,-4.891944492,64.60213612,2.214281482,-11.46921587,8.966490644
1994-01-28,-4.633580963,70.26581885,2.276499911,-9.993060001,7.528841991
1994-01-29,-4.605655678,77.4926631,2.409505831,-8.257194884,6.591078015
1994-01-30,-4.649200777,73.67804664,1.21447589,-9.28580262,7.058363529
1994-01-31,-0.633448044,84.66520827,0.910991509,-2.915429628,5.518793715
1994-02-01,-0.161451884,80.68363485,3.157639299,-3.25247034,3.979223901
1994-02-02,-3.104526092,66.8258892,4.256841172,-8.718380842,8.774110189
1994-02-03,-0.983486884,62.60758024,3.347841068,-7.917399567,9.191776647
